Datetime,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-01-25,84.63521,83.06251,81.4488,81.35566,83.09214,92.01367,104.121,114.07907,122.68002,120.11716,119.781425,110.250854,102.66114,103.72674,97.995476,104.17463,116.203606,116.973625,120.256,107.86224,103.05066,93.92544,89.3844,88.43843
2024-01-26,69.65747,67.90874,65.736626,66.051155,64.83805,70.77406,83.205376,92.53862,98.20931,94.36739,93.84729,82.70567,71.61259,73.019295,69.66139,81.93362,101.918755,109.25372,113.27057,102.16671,97.76096,87.29834,83.704475,76.02388
2024-01-27,72.08831,70.859856,68.214035,68.363914,65.8704,68.696144,79.07917,88.24455,96.27996,96.10051,98.75657,91.25237,84.833496,87.32412,81.98425,86.07724,98.981804,104.01373,110.483185,101.876,98.82549,87.18187,83.09619,75.82582
2024-01-28,59.59275,58.25676,54.518524,54.04107,50.75522,53.287575,64.48515,73.944916,81.851776,84.50461,90.48159,88.0593,85.06264,90.12066,82.39864,80.21603,92.86127,97.51991,107.3871,100.10324,100.29725,84.32751,80.37791,68.20621
2024-01-29,84.75712,82.33238,80.6429,80.658005,81.168076,90.31282,102.19265,113.37843,121.06558,119.44241,119.14897,109.68918,102.237175,102.630325,97.03053,103.751976,115.732925,117.242424,121.823364,111.402534,108.357735,99.479614,94.2197,91.99267
2024-01-30,86.55573,83.29894,80.81502,79.57057,78.61259,85.70144,97.8121,109.614624,117.93947,116.80839,116.99472,107.71119,100.05498,100.66073,95.39568,102.02922,115.63579,118.83438,124.36783,114.55267,111.87016,102.219795,97.47781,92.983864
2024-01-31,87.687706,84.821075,82.81803,82.269165,83.04768,92.44429,104.95708,116.49297,124.870224,123.02364,122.25114,112.64777,105.10935,105.39812,99.65736,105.97367,118.22945,119.640686,124.30797,113.54521,110.42899,101.55416,96.693,94.324295
2024-02-01,80.76815,78.579185,76.34886,75.4292,75.617516,84.14927,97.022835,107.06646,112.53128,107.38067,105.6736,94.58869,83.97752,85.22733,82.34299,95.013535,113.08799,117.742165,120.05702,108.39153,104.145645,96.16386,92.21742,87.8107
2024-02-02,76.1272,74.13637,72.42726,72.96703,73.82764,81.05449,93.92537,104.609215,114.97806,112.74057,112.49445,99.91227,89.70342,89.92495,83.88202,92.84872,108.868515,112.67087,116.901794,102.77381,96.0511,84.676254,80.08695,77.52661
2024-02-03,45.96708,45.52221,42.328033,43.59703,40.916,45.267616,59.028076,70.22017,79.8002,81.3718,84.927605,79.11237,74.28429,78.607765,69.79207,69.4457,84.65575,89.58097,99.87555,89.44143,87.94023,70.85514,67.384705,55.563828
2024-02-04,39.807632,39.01567,34.843826,35.48314,32.67363,36.858765,51.07747,62.175392,72.0184,74.96958,80.711426,77.58745,74.49543,80.380775,70.265755,66.51513,81.50561,86.33216,98.37433,88.541275,88.57839,69.03403,65.48546,51.050575
2024-02-05,65.07556,61.459778,57.758934,57.38521,57.868988,67.52378,81.9237,95.3173,105.78778,106.52692,109.04991,100.14848,93.311,95.45972,87.43878,92.16532,107.31209,109.910515,117.56276,105.366714,102.778435,88.02513,81.988655,75.31256
2024-02-06,69.37827,65.17622,61.504128,60.509872,60.67141,71.262405,85.41714,98.7746,106.71552,107.875206,110.35382,103.89276,98.03218,100.455284,93.09542,97.38949,113.065674,115.59519,123.43138,113.34515,113.23494,98.93746,93.18821,84.46872
2024-02-07,93.27304,90.369774,88.310524,87.01168,86.573555,94.72265,106.46593,117.34019,123.61947,121.320244,120.07115,111.907,104.74323,105.30693,101.10863,107.74329,120.47151,122.83603,127.17489,118.60472,116.90065,109.4619,105.50877,101.36529
2024-02-08,95.081154,93.322655,92.3755,92.22282,93.948166,102.9035,113.861244,122.971115,129.91684,127.53337,126.44125,118.22584,111.23114,111.581764,106.63306,112.217896,123.07117,123.46463,126.244125,115.79894,112.12683,104.67677,100.65052,99.770905
2024-02-09,85.10249,82.02374,79.98428,79.7515,80.39215,89.94288,102.197395,113.695145,121.67236,120.43455,120.38815,111.14411,103.727684,104.03252,98.02626,104.25026,116.50057,118.22461,123.465836,113.27345,110.715,101.24901,95.87441,92.855934
2024-02-10,75.07807,73.77247,71.37755,71.59217,69.55141,73.97845,84.02726,92.698975,98.61037,98.3197,100.726616,95.00753,89.50592,92.13703,87.101036,90.57484,102.56402,106.73268,112.99562,105.949005,104.687584,94.032845,89.92381,82.28781
2024-02-11,75.57792,74.51454,71.81028,71.39387,68.57469,70.33847,79.41868,87.44759,94.64015,96.1731,100.80098,97.108665,93.31897,96.91972,91.0638,91.002556,101.53495,105.52666,112.740814,106.05814,104.773544,92.42783,88.51957,80.12016
2024-02-12,73.3363,73.331856,72.142654,73.34169,72.31289,76.42958,87.13114,94.33363,99.591934,94.65394,93.43383,81.74916,70.520515,71.837685,69.707115,82.52618,100.82019,107.75552,109.63807,98.331154,92.02855,83.5445,80.67206,75.414246
2024-02-13,85.78762,82.63416,80.77296,80.71149,80.64085,89.48732,100.96604,112.40057,119.80026,119.288734,119.73268,110.968475,103.8748,103.99881,98.15695,104.22535,116.03106,118.11891,123.77414,114.703926,112.76544,103.3585,97.7087,94.22651
2024-02-14,84.740265,82.16191,80.089806,79.744095,79.96452,87.54336,99.032364,109.79361,118.577255,117.77402,118.718765,109.70657,102.59025,103.34218,97.32466,102.72754,114.47676,116.444824,121.55183,111.05886,107.56896,97.56241,92.34549,89.55211
2024-02-15,79.511505,77.04825,74.69011,74.339,73.50523,79.884895,91.29139,101.42717,108.7293,107.29067,108.37445,99.37033,91.31654,92.57828,87.628296,94.95067,109.3024,113.49992,118.64534,108.889084,105.75185,95.46196,90.692444,85.35198
2024-02-16,72.890915,72.376236,70.387115,71.41559,70.37432,76.29245,87.078896,94.707054,98.709206,94.46314,93.81612,84.84736,76.1196,78.21895,75.50834,85.08587,100.27631,105.813034,109.18109,100.726845,97.64763,89.678635,86.30835,79.72467
2024-02-17,59.89701,60.20838,57.991524,59.389236,57.6631,60.640152,72.2311,81.16629,90.75506,91.21891,94.04654,87.26531,81.82562,85.2493,77.90859,78.717285,91.71401,95.79775,103.201256,92.45516,88.59245,74.31059,71.170044,63.30282
2024-02-18,60.59494,60.83368,58.660072,60.11303,56.266068,56.623016,65.84522,72.934395,78.76396,78.991844,82.775085,76.8705,70.59489,74.17698,69.402664,73.37132,88.05369,95.32279,102.259895,94.959755,92.42798,79.3988,76.12623,65.44776
