Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Great Britain,Great Britain,GB,61.36,96.45,85.52,62.7,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 01:00:00,Great Britain,Great Britain,GB,59.98,94.22,85.85,63.32,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 02:00:00,Great Britain,Great Britain,GB,65.71,101.79,84.35,63.63,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 03:00:00,Great Britain,Great Britain,GB,63.96,99.14,85.01,64.04,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 04:00:00,Great Britain,Great Britain,GB,58.5,92.16,86.26,65.41,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 05:00:00,Great Britain,Great Britain,GB,56.69,89.83,86.9,66.06,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 06:00:00,Great Britain,Great Britain,GB,60.16,94.02,86.31,64.74,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 07:00:00,Great Britain,Great Britain,GB,60.13,93.9,86.45,64.66,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 08:00:00,Great Britain,Great Britain,GB,53.8,88.36,87.54,64.51,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 09:00:00,Great Britain,Great Britain,GB,45.43,80.38,89.22,66.85,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 10:00:00,Great Britain,Great Britain,GB,47.68,84.15,88.65,66.38,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 11:00:00,Great Britain,Great Britain,GB,58.77,100.61,85.53,63.86,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 12:00:00,Great Britain,Great Britain,GB,77.38,125.33,80.57,59.33,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 13:00:00,Great Britain,Great Britain,GB,95.49,149.12,75.62,54.33,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 14:00:00,Great Britain,Great Britain,GB,108.31,167.2,72.08,50.16,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 15:00:00,Great Britain,Great Britain,GB,107.48,166.79,72.23,50.47,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 16:00:00,Great Britain,Great Britain,GB,107.64,168.03,72.42,51.93,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 17:00:00,Great Britain,Great Britain,GB,108.01,168.12,72.79,52.97,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 18:00:00,Great Britain,Great Britain,GB,96.68,153.66,75.68,55.63,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 19:00:00,Great Britain,Great Britain,GB,74.7,124.73,81.15,60.16,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 20:00:00,Great Britain,Great Britain,GB,53.74,95.73,86.28,64.15,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 21:00:00,Great Britain,Great Britain,GB,39.73,74.8,89.96,67.69,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 22:00:00,Great Britain,Great Britain,GB,39.85,69.94,90.04,69.02,elexon.co.uk;  nationalgrideso.com,false,
2024-01-01 23:00:00,Great Britain,Great Britain,GB,45.66,75.87,89.2,69.9,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 00:00:00,Great Britain,Great Britain,GB,47.86,78.47,88.67,70.2,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 01:00:00,Great Britain,Great Britain,GB,53.5,85.75,87.46,69.05,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 02:00:00,Great Britain,Great Britain,GB,53.17,85.07,87.69,68.45,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 03:00:00,Great Britain,Great Britain,GB,55.19,87.88,87.19,67.26,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 04:00:00,Great Britain,Great Britain,GB,57.9,91.35,86.61,66.63,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 05:00:00,Great Britain,Great Britain,GB,62.83,97.87,85.45,64.89,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 06:00:00,Great Britain,Great Britain,GB,70.94,108.43,83.03,61.58,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 07:00:00,Great Britain,Great Britain,GB,89.08,135.12,78.1,56.98,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 08:00:00,Great Britain,Great Britain,GB,95.35,145.85,76.43,56.06,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 09:00:00,Great Britain,Great Britain,GB,109.16,167.09,72.23,53.39,elexon.co.uk;  nationalgrideso.com,false,
2024-01-02 10:00:00,Great Britain,Great Britain,GB,122.85,185.97,68.05,49.84,elexon.co.uk;  nationalgrideso.com,false,
