Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Great Britain,Great Britain,GB,52.22,90.0,86.9,60.39,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 01:00:00,Great Britain,Great Britain,GB,53.13,91.59,86.63,58.77,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 02:00:00,Great Britain,Great Britain,GB,50.15,87.61,86.89,61.54,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 03:00:00,Great Britain,Great Britain,GB,45.9,81.95,87.96,62.72,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 04:00:00,Great Britain,Great Britain,GB,43.26,78.56,88.7,63.05,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 05:00:00,Great Britain,Great Britain,GB,39.46,74.14,89.59,63.54,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 06:00:00,Great Britain,Great Britain,GB,39.06,73.91,89.62,64.05,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 07:00:00,Great Britain,Great Britain,GB,35.08,68.61,90.68,65.62,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 08:00:00,Great Britain,Great Britain,GB,39.16,71.53,89.65,64.96,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 09:00:00,Great Britain,Great Britain,GB,39.09,71.51,89.67,66.03,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 10:00:00,Great Britain,Great Britain,GB,41.39,74.86,89.05,65.98,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 11:00:00,Great Britain,Great Britain,GB,34.43,66.03,91.07,67.76,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 12:00:00,Great Britain,Great Britain,GB,43.79,79.61,88.69,66.35,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 13:00:00,Great Britain,Great Britain,GB,46.41,82.96,88.1,64.78,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 14:00:00,Great Britain,Great Britain,GB,47.68,84.92,87.58,63.58,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 15:00:00,Great Britain,Great Britain,GB,52.86,89.37,86.31,62.34,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 16:00:00,Great Britain,Great Britain,GB,65.21,105.78,83.1,60.57,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 17:00:00,Great Britain,Great Britain,GB,70.18,112.73,82.23,60.37,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 18:00:00,Great Britain,Great Britain,GB,75.16,119.33,80.89,59.82,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 19:00:00,Great Britain,Great Britain,GB,64.31,103.97,83.73,60.62,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 20:00:00,Great Britain,Great Britain,GB,66.27,106.91,82.87,58.99,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 21:00:00,Great Britain,Great Britain,GB,57.18,94.58,85.65,59.73,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 22:00:00,Great Britain,Great Britain,GB,48.32,84.3,87.78,61.66,elexon.co.uk;  nationalgrideso.com,false,
2022-01-01 23:00:00,Great Britain,Great Britain,GB,47.02,84.95,87.71,62.17,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 00:00:00,Great Britain,Great Britain,GB,37.17,72.71,90.39,63.55,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 01:00:00,Great Britain,Great Britain,GB,38.26,73.75,90.21,63.08,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 02:00:00,Great Britain,Great Britain,GB,36.55,72.08,90.51,63.46,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 03:00:00,Great Britain,Great Britain,GB,34.53,69.43,91.05,64.52,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 04:00:00,Great Britain,Great Britain,GB,36.15,71.48,90.63,64.27,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 05:00:00,Great Britain,Great Britain,GB,40.58,76.91,89.41,63.34,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 06:00:00,Great Britain,Great Britain,GB,38.81,74.5,89.9,64.44,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 07:00:00,Great Britain,Great Britain,GB,36.57,71.67,90.47,64.99,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 08:00:00,Great Britain,Great Britain,GB,44.05,80.03,88.47,63.41,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 09:00:00,Great Britain,Great Britain,GB,47.19,82.93,87.81,64.1,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 10:00:00,Great Britain,Great Britain,GB,46.89,82.83,87.89,64.57,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 11:00:00,Great Britain,Great Britain,GB,53.65,92.27,86.1,63.98,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 12:00:00,Great Britain,Great Britain,GB,54.97,93.33,85.88,63.12,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 13:00:00,Great Britain,Great Britain,GB,57.24,94.95,85.28,62.16,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 14:00:00,Great Britain,Great Britain,GB,64.84,104.61,83.13,60.56,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 15:00:00,Great Britain,Great Britain,GB,70.36,112.58,81.55,61.36,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 16:00:00,Great Britain,Great Britain,GB,81.57,126.53,78.91,58.19,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 17:00:00,Great Britain,Great Britain,GB,82.04,127.63,79.06,58.41,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 18:00:00,Great Britain,Great Britain,GB,76.68,120.49,80.18,58.71,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 19:00:00,Great Britain,Great Britain,GB,70.88,112.22,81.53,59.55,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 20:00:00,Great Britain,Great Britain,GB,53.92,90.59,86.05,63.86,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 21:00:00,Great Britain,Great Britain,GB,41.34,75.61,89.34,66.13,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 22:00:00,Great Britain,Great Britain,GB,42.79,79.92,88.6,66.02,elexon.co.uk;  nationalgrideso.com,false,
2022-01-02 23:00:00,Great Britain,Great Britain,GB,45.01,83.39,87.99,64.19,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 00:00:00,Great Britain,Great Britain,GB,40.23,76.46,89.4,64.17,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 01:00:00,Great Britain,Great Britain,GB,38.6,73.82,89.94,64.41,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 02:00:00,Great Britain,Great Britain,GB,34.04,67.89,91.18,65.36,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 03:00:00,Great Britain,Great Britain,GB,35.09,70.62,90.92,63.78,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 04:00:00,Great Britain,Great Britain,GB,32.13,66.87,91.61,64.73,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 05:00:00,Great Britain,Great Britain,GB,33.24,67.78,91.31,65.67,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 06:00:00,Great Britain,Great Britain,GB,43.47,80.74,88.66,65.18,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 07:00:00,Great Britain,Great Britain,GB,45.38,83.07,88.04,64.84,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 08:00:00,Great Britain,Great Britain,GB,60.77,100.0,83.82,60.92,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 09:00:00,Great Britain,Great Britain,GB,84.98,131.19,77.31,56.62,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 10:00:00,Great Britain,Great Britain,GB,79.44,123.66,78.73,58.46,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 11:00:00,Great Britain,Great Britain,GB,79.22,124.18,78.94,59.02,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 12:00:00,Great Britain,Great Britain,GB,89.63,137.24,76.22,55.75,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 13:00:00,Great Britain,Great Britain,GB,92.88,140.51,75.24,53.72,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 14:00:00,Great Britain,Great Britain,GB,95.66,143.83,74.55,52.23,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 15:00:00,Great Britain,Great Britain,GB,104.82,156.51,72.2,50.31,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 16:00:00,Great Britain,Great Britain,GB,110.24,162.67,71.09,50.03,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 17:00:00,Great Britain,Great Britain,GB,124.99,180.73,67.73,47.59,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 18:00:00,Great Britain,Great Britain,GB,122.99,178.99,68.22,47.89,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 19:00:00,Great Britain,Great Britain,GB,118.44,172.74,69.45,47.31,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 20:00:00,Great Britain,Great Britain,GB,105.98,156.0,72.86,48.59,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 21:00:00,Great Britain,Great Britain,GB,90.87,137.12,76.92,50.68,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 22:00:00,Great Britain,Great Britain,GB,79.37,123.3,79.74,52.13,elexon.co.uk;  nationalgrideso.com,false,
2022-01-03 23:00:00,Great Britain,Great Britain,GB,60.64,101.66,84.68,55.04,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 00:00:00,Great Britain,Great Britain,GB,55.54,95.34,86.53,57.14,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 01:00:00,Great Britain,Great Britain,GB,63.66,107.31,84.27,54.79,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 02:00:00,Great Britain,Great Britain,GB,63.95,108.24,83.99,53.29,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 03:00:00,Great Britain,Great Britain,GB,60.84,104.86,84.36,53.26,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 04:00:00,Great Britain,Great Britain,GB,57.18,98.42,85.31,55.89,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 05:00:00,Great Britain,Great Britain,GB,61.91,104.48,84.05,54.88,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 06:00:00,Great Britain,Great Britain,GB,88.67,140.82,76.48,50.61,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 07:00:00,Great Britain,Great Britain,GB,112.96,169.77,70.06,45.92,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 08:00:00,Great Britain,Great Britain,GB,125.28,186.23,66.87,46.92,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 09:00:00,Great Britain,Great Britain,GB,124.47,183.98,67.45,49.09,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 10:00:00,Great Britain,Great Britain,GB,111.73,168.71,70.36,52.69,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 11:00:00,Great Britain,Great Britain,GB,105.6,161.02,71.96,55.17,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 12:00:00,Great Britain,Great Britain,GB,100.23,154.39,73.4,57.36,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 13:00:00,Great Britain,Great Britain,GB,95.11,147.49,74.84,58.53,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 14:00:00,Great Britain,Great Britain,GB,104.35,158.43,72.44,55.18,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 15:00:00,Great Britain,Great Britain,GB,117.93,175.27,68.83,51.82,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 16:00:00,Great Britain,Great Britain,GB,128.69,189.29,66.25,47.41,elexon.co.uk;  nationalgrideso.com,false,
2022-01-04 17:00:00,Great Britain,Great Britain,GB,133.46,194.87,65.13,47.57,elexon.co.uk;  nationalgrideso.com,false,
