Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Great Britain,Great Britain,GB,156.05,233.77,59.0,32.2,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 01:00:00,Great Britain,Great Britain,GB,152.55,229.75,59.98,32.42,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 02:00:00,Great Britain,Great Britain,GB,141.41,216.39,62.85,33.98,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 03:00:00,Great Britain,Great Britain,GB,135.89,210.16,64.19,35.03,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 04:00:00,Great Britain,Great Britain,GB,128.33,201.0,66.31,36.45,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 05:00:00,Great Britain,Great Britain,GB,123.27,194.72,67.78,37.68,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 06:00:00,Great Britain,Great Britain,GB,127.01,199.11,66.76,36.93,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 07:00:00,Great Britain,Great Britain,GB,126.9,198.64,66.8,37.18,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 08:00:00,Great Britain,Great Britain,GB,133.19,205.58,65.43,36.63,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 09:00:00,Great Britain,Great Britain,GB,149.47,223.63,61.88,35.21,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 10:00:00,Great Britain,Great Britain,GB,168.36,245.31,57.46,33.22,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 11:00:00,Great Britain,Great Britain,GB,178.11,257.99,54.17,31.75,elexon.co.uk;  nationalgrideso.com,false,
2021-01-01 12:00:00,Great Britain,Great Britain,GB,187.21,268.81,51.82,30.22,elexon.co.uk;  nationalgrideso.com,false,
